patch_id,source_artifact,source_location,finding,severity,required_change,replacement_rule,blocks_migration,human_ratification_required
PATCH-001,CL_PHASE_02_TARGET_NAMESPACE_BLUEPRINT.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_02_TARGET_NAMESPACE_BLUEPRINT.md,Treats gradient-institution as canonical/ratified active repository and proposes 00_INSTITUTIONAL_CONTROL…99_TEMP parallel institutional hierarchy inside Crisis Liturgies.,S1,Rewrite topology as program-local lifecycle paths; repository language = CANDIDATE only; reject second institutional hierarchy.,CL is a program within The Gradient; operational control under CRISIS_LITURGIES/00_PROJECT_CONTROL; institution-level records stay in TG institutional lanes by reference.,YES,"YES — RAT-CL-001, RAT-CL-002"
PATCH-002,CL_PHASE_02_TARGET_NAMESPACE_TREE.txt,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_02_TARGET_NAMESPACE_TREE.txt,Tree encodes rejected parallel institutional namespace.,S1,Replace with revised program topology register; mark all new parents NOT MATERIALIZED.,Use CL_PHASE_02C_REVISED_PROGRAM_TOPOLOGY.md / CL_PHASE_02C_REVISED_TOPOLOGY_REGISTER.csv.,YES,"YES — RAT-CL-001, RAT-CL-006"
PATCH-003,CL_MIG_001_GOVERNANCE_AND_REGISTRIES_PLAN.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_MIG_001_GOVERNANCE_AND_REGISTRIES_PLAN.md,Single MIG-001 batch mixes governance copies with builder schemas; destinations under rejected 00_INSTITUTIONAL_CONTROL and 06_BUILDER; root described as ratified.,S1,Split into CL-MIG-001A and CL-MIG-001B with program-local destinations; candidate language; no eligibility while authority unresolved.,CL_MIG_001A_PROGRAM_GOVERNANCE_SCOPE.md + CL_MIG_001B_BUILDER_SCHEMA_SCOPE.md.,YES,"YES — RAT-CL-003, RAT-CL-004"
PATCH-004,CL_PHASE_02_SOURCE_TO_TARGET_MAP.csv,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_02_SOURCE_TO_TARGET_MAP.csv,Compound destinations using '+' / 'or' / OUT_OF_NAMESPACE prose; not one exact destination per row.,S1,One source → one exact absolute destination per mapping row; no wildcards or inferred paths.,CL_PHASE_02C_REVISED_SOURCE_TARGET_MAP.csv only.,YES,YES
PATCH-005,CL_PHASE_02_ROLLBACK_PLAN.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_02_ROLLBACK_PLAN.md,Default RB-A DELETE_WRITTEN_TARGETS_ONLY makes deletion part of rollback.,S1,Replace with non-destructive evidence-driven rollback; deletion requires separate destruction authorization.,CL_PHASE_02C_NON_DESTRUCTIVE_ROLLBACK_DOCTRINE.md — ROLLBACK IS NOT DELETION.,YES,YES — RAT-CL-005
PATCH-006,CL_MIGRATION_MANIFEST.schema.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_MIGRATION_MANIFEST.schema.json,"Missing first-class occupancy, collision, authority evidence, parent validation, copy receipt, post-copy hash, verification fields.",S2,Issue revised migration manifest schema with required Phase 02C fields.,CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json supersedes Phase 02 schema for future batches.,YES,YES — RAT-CL-004
PATCH-007,CL_EXTERNAL_BINARY_REFERENCE.schema.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_EXTERNAL_BINARY_REFERENCE.schema.json,Incomplete stable identity / access / retention / replacement policy surface for external evidence.,S2,Issue revised external binary reference schema with Phase 02C required fields.,CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json.,NO,YES
PATCH-008,CL_PHASE_02B eligible destinations,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02B_PLANNING_QC\CL_MIG_001_FILE_LEVEL_MANIFEST.csv,21 Phase 02B dry-run-eligible rows targeted rejected 00_INSTITUTIONAL_CONTROL / 06_BUILDER paths; destination parents absent.,S1,Remap to program-local 00_PROJECT_CONTROL children; keep mapping_status blocked until ratification and materialization authority.,"Exact destinations under 01_PROGRAM_GOVERNANCE, 03_PHASE_EVIDENCE, 05_BUILDER_CONTRACTS; materialization_authorized=NO in this phase.",YES,YES — RAT-CL-006
PATCH-009,Chachipti lane / MAP-003,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE,CLASSIFY_THEN_COPY unresolved; files cannot be migration-eligible.,S2,Require classification rule ratification before any admit/quarantine/handoff mapping.,mapping_status=BLOCKED_CLASSIFICATION until RAT-CL-008.,YES,YES — RAT-CL-008
PATCH-010,AUTHOR_FROM_RATIFICATION placeholders,MFR-0050..MFR-0054 in Phase 02B manifest,Five registry/decision records have no source files; blocked.,S2,Human must author records under program-local registry lane after RAT-CL-007; no migration eligibility beforehand.,BLOCKED_AUTHORITY until authored artifacts exist with hashes and authority evidence.,YES,YES — RAT-CL-007
PATCH-011,MAP-002 disk inventory,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713,Large inventory payloads incorrectly considered for copy in early planning; must remain external references.,S2,EXCLUDED from MIG-001A/B; create external reference records only after schema ratification.,external_reference_required=YES; mapping_status=EXCLUDED for payload files.,NO,NO for exclusion; YES for later reference authoring
PATCH-012,Institutional boundary,Repo lanes 01_constitution / 02_stewardship / 03_governance / 04_registries,Phase 02 would have duplicated institutional control inside CL.,S1,Reference TG institutional lanes; do not copy Gradient constitution into CL.,Pointers only under 00_PROJECT_CONTROL/04_EXTERNAL_REFERENCES/ after separate authorization.,YES,YES — RAT-CL-001
