authorization_record_id,parent_record_id,batch_id,exact_parent_path,set_assignment,necessity_basis,mapping_records_supported,existing_ancestor,existing_ancestor_verified,proposed_creation_depth,occupancy_result,authority_result,classification_dependency,recommended_human_decision,creation_authorized,copy_authorized
AUTH-001,DPP-001,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE,SET-A,REQUIRED_FOR_CL_MIG_001A; 4 governance mappings; CL_MIG_001A scope parent,MAP02C-0002;MAP02C related governance admits under 01_PROGRAM_GOVERNANCE (n=4),C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,YES,1,PARENT_ABSENT_OK,TOPOLOGY_RATIFIED_PARENT_SET,NONE,AUTHORIZE_PARENT_CREATION,NO,NO
AUTH-002,DPP-003,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,SET-A,REQUIRED_FOR_CL_MIG_001A; 15 phase-evidence mappings; CL_MIG_001A scope parent,MAP02C phase-evidence admits under 03_PHASE_EVIDENCE (n=15),C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,YES,1,PARENT_ABSENT_OK,TOPOLOGY_RATIFIED_PARENT_SET,NONE,AUTHORIZE_PARENT_CREATION,NO,NO
AUTH-003,DPP-005,CL-MIG-001B,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS,SET-B,REQUIRED_FOR_CL_MIG_001B; 2 revised schema mappings; CL_MIG_001B scope parent,MAP02C builder-schema admits under 05_BUILDER_CONTRACTS (n=2),C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,YES,1,PARENT_ABSENT_OK,TOPOLOGY_RATIFIED_PARENT_SET,NONE,AUTHORIZE_PARENT_CREATION,NO,NO
AUTH-004,DPP-002,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES,SET-DEFERRED,BLOCKED_AUTHORITY; five AUTHOR_FROM_RATIFICATION records deferred under RAT-CL-007,MAP02C-0050;MAP02C-0051;MAP02C-0052;MAP02C-0053;MAP02C-0054,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,YES,1,PARENT_ABSENT_OK,AUTHORITY_DEFERRED_RAT_CL_007,NONE,DEFER_AUTHORITY,NO,NO
AUTH-005,DPP-004,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,SET-REJECTED,NOT_REQUIRED_FOR_CURRENT_BATCH; all 13 mapped rows EXCLUDED; pointer authoring unauthorized,EXCLUDED mapping rows under 04_EXTERNAL_REFERENCES (n=13),C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,YES,1,PARENT_ABSENT_OK,TOPOLOGY_RATIFIED_BUT_PREMATURE,NONE,REJECT_PREMATURE_PARENT,NO,NO
AUTH-006,DPP-006,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\06_MIGRATION_BATCHES,SET-REJECTED,NOT_REQUIRED_FOR_CURRENT_BATCH; zero mappings; empty migration-control scaffolding,NONE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,YES,1,PARENT_ABSENT_OK,TOPOLOGY_RATIFIED_BUT_PREMATURE,NONE,REJECT_PREMATURE_PARENT,NO,NO
AUTH-007,DPP-007,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\10_VOLUMES_ACTIVE,SET-REJECTED,DUPLICATIVE_HIERARCHY relative to existing EXPANSION_VOLUMES; zero mappings; empty lifecycle scaffold,NONE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,YES,1,PARENT_ABSENT_OK,TOPOLOGY_RATIFIED_BUT_DUPLICATIVE,NONE,REJECT_DUPLICATIVE_PARENT,NO,NO
AUTH-008,DPP-008,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\20_SOURCE,SET-REJECTED,NOT_REQUIRED_FOR_CURRENT_BATCH; abstract lifecycle scaffolding,NONE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,YES,1,PARENT_ABSENT_OK,TOPOLOGY_RATIFIED_BUT_PREMATURE,NONE,REJECT_PREMATURE_PARENT,NO,NO
AUTH-009,DPP-009,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\30_GENERATED_OUTPUT,SET-REJECTED,NOT_REQUIRED_FOR_CURRENT_BATCH; abstract lifecycle scaffolding,NONE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,YES,1,PARENT_ABSENT_OK,TOPOLOGY_RATIFIED_BUT_PREMATURE,NONE,REJECT_PREMATURE_PARENT,NO,NO
AUTH-010,DPP-010,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\40_QC,SET-REJECTED,NOT_REQUIRED_FOR_CURRENT_BATCH; abstract lifecycle scaffolding,NONE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,YES,1,PARENT_ABSENT_OK,TOPOLOGY_RATIFIED_BUT_PREMATURE,NONE,REJECT_PREMATURE_PARENT,NO,NO
AUTH-011,DPP-011,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\50_RELEASE_ASSEMBLY,SET-REJECTED,NOT_REQUIRED_FOR_CURRENT_BATCH; premature release parent (Rule 11),NONE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,YES,1,PARENT_ABSENT_OK,TOPOLOGY_RATIFIED_BUT_PREMATURE,NONE,REJECT_PREMATURE_PARENT,NO,NO
AUTH-012,DPP-012,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\60_RELEASE_SNAPSHOTS,SET-REJECTED,NOT_REQUIRED_FOR_CURRENT_BATCH; premature snapshot parent (Rule 11),NONE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,YES,1,PARENT_ABSENT_OK,TOPOLOGY_RATIFIED_BUT_PREMATURE,NONE,REJECT_PREMATURE_PARENT,NO,NO
AUTH-013,DPP-013,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\70_ARCHIVE,SET-REJECTED,NOT_REQUIRED_FOR_CURRENT_BATCH; premature archive parent (Rule 11),NONE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,YES,1,PARENT_ABSENT_OK,TOPOLOGY_RATIFIED_BUT_PREMATURE,NONE,REJECT_PREMATURE_PARENT,NO,NO
AUTH-014,DPP-015,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_TEMPORARY,SET-REJECTED,NOT_REQUIRED_FOR_CURRENT_BATCH; premature temporary parent (Rule 11),NONE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,YES,1,PARENT_ABSENT_OK,TOPOLOGY_RATIFIED_BUT_PREMATURE,NONE,REJECT_PREMATURE_PARENT,NO,NO
AUTH-015,DPP-014,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE,SET-DEFERRED,BLOCKED_CLASSIFICATION; quarantine ancestor required only if Chachipti quarantine-claim classifications land here,NONE_DIRECT; ancestor for DPP-016..018,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,YES,1,PARENT_ABSENT_OK,TOPOLOGY_RATIFIED_CLASSIFICATION_PENDING,YES_RAT_CL_008,DEFER_CLASSIFICATION,NO,NO
AUTH-016,DPP-016,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification,SET-DEFERRED,BLOCKED_CLASSIFICATION; 7 provisional mappings; classify-before-copy incomplete,MAP02C-0039;MAP02C-0040;MAP02C-0041;MAP02C-0042;MAP02C-0043;MAP02C-0046;MAP02C-0047,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE,NO,2,PARENT_ABSENT_MISSING_ANCESTOR,PROVISIONAL_PENDING_CLASSIFICATION,YES_RAT_CL_008,DEFER_CLASSIFICATION,NO,NO
AUTH-017,DPP-017,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CORRECTIVE_INTAKES,SET-DEFERRED,BLOCKED_CLASSIFICATION; 1 provisional nested mapping; missing ancestors,MAP02C-0044,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification,NO,3,PARENT_ABSENT_MISSING_ANCESTOR,PROVISIONAL_PENDING_CLASSIFICATION,YES_RAT_CL_008,DEFER_CLASSIFICATION,NO,NO
AUTH-018,DPP-018,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CURSOR_PACKETS,SET-DEFERRED,BLOCKED_CLASSIFICATION; 1 provisional nested mapping; missing ancestors,MAP02C-0045,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification,NO,3,PARENT_ABSENT_MISSING_ANCESTOR,PROVISIONAL_PENDING_CLASSIFICATION,YES_RAT_CL_008,DEFER_CLASSIFICATION,NO,NO
