dry_run_record_id,candidate_record_id,batch_id,source_absolute_path,exact_target_path,source_exists,source_readable,source_hash_verified,authority_resolved,classification_resolved,target_parent_exists,target_parent_empty_or_compatible,target_absent,collision_free,path_valid,rollback_ready,batch_scope_valid,dry_run_result,blocking_reason
DR-02G-0023,CAND-02G-0023,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_STOP_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
DR-02G-0024,CAND-02G-0024,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\_regen_candidates.py,,YES,YES,YES,NO,YES,NO,N/A,N/A,N/A,N/A,YES,NO,WOULD_STOP_SCOPE,EXCLUDED_NON_GOVERNANCE
DR-02G-0025,CAND-02G-0025,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\_run_00c_patch.py,,YES,YES,YES,NO,YES,NO,N/A,N/A,N/A,N/A,YES,NO,WOULD_STOP_SCOPE,EXCLUDED_NON_GOVERNANCE
DR-02G-0026,CAND-02G-0026,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\_run_inventory.log,,YES,YES,YES,NO,YES,NO,N/A,N/A,N/A,N/A,YES,NO,WOULD_STOP_SCOPE,EXCLUDED_NON_GOVERNANCE
DR-02G-0027,CAND-02G-0027,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\_run_inventory.py,,YES,YES,YES,NO,YES,NO,N/A,N/A,N/A,N/A,YES,NO,WOULD_STOP_SCOPE,EXCLUDED_NON_GOVERNANCE
DR-02G-0028,CAND-02G-0028,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\_summarize.py,,YES,YES,YES,NO,YES,NO,N/A,N/A,N/A,N/A,YES,NO,WOULD_STOP_SCOPE,EXCLUDED_NON_GOVERNANCE
DR-02G-0029,CAND-02G-0029,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_COLLECTION_CANDIDATES.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_COLLECTION_CANDIDATES.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_SCOPE,EXCLUDED_LIFECYCLE
DR-02G-0030,CAND-02G-0030,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DISK_CONFLICTS.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_DISK_CONFLICTS.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_SCOPE,EXCLUDED_LIFECYCLE
DR-02G-0031,CAND-02G-0031,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DISK_INVENTORY_RECEIPT.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_DISK_INVENTORY_RECEIPT.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_SCOPE,EXCLUDED_LIFECYCLE
DR-02G-0032,CAND-02G-0032,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DISK_ROOTS.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_DISK_ROOTS.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_SCOPE,EXCLUDED_LIFECYCLE
DR-02G-0033,CAND-02G-0033,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DUPLICATE_HASH_GROUPS.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_DUPLICATE_HASH_GROUPS.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_SCOPE,EXCLUDED_LIFECYCLE
DR-02G-0034,CAND-02G-0034,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_FILE_INVENTORY.csv,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_FILE_INVENTORY.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_SCOPE,EXCLUDED_LIFECYCLE
DR-02G-0035,CAND-02G-0035,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_KNOWN_CHECKSUM_TESTS.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_KNOWN_CHECKSUM_TESTS.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_SCOPE,EXCLUDED_LIFECYCLE
DR-02G-0036,CAND-02G-0036,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_PACKAGE_MANIFEST.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_PACKAGE_MANIFEST.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_SCOPE,EXCLUDED_LIFECYCLE
DR-02G-0037,CAND-02G-0037,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_POST_CORRECTION_RECEIPT.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_POST_CORRECTION_RECEIPT.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_SCOPE,EXCLUDED_LIFECYCLE
DR-02G-0038,CAND-02G-0038,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\SHA256SUMS.txt,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\SHA256SUMS.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_SCOPE,EXCLUDED_LIFECYCLE
DR-02G-0039,CAND-02G-0039,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CHACHIPTI_CORRECTIVE_LANE_PROTOCOL.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CL_CHACHIPTI_CORRECTIVE_LANE_PROTOCOL.md,YES,YES,YES,NO,NO,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
DR-02G-0040,CAND-02G-0040,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CHACHIPTI_ENGINE_CONTRACTS.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CL_CHACHIPTI_ENGINE_CONTRACTS.md,YES,YES,YES,NO,NO,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
DR-02G-0041,CAND-02G-0041,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CHACHIPTI_MASTER_HANDOFF.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CL_CHACHIPTI_MASTER_HANDOFF.md,YES,YES,YES,NO,NO,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
DR-02G-0042,CAND-02G-0042,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CURSOR_PACKET_EMIT_SPEC.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CL_CURSOR_PACKET_EMIT_SPEC.md,YES,YES,YES,NO,NO,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
DR-02G-0043,CAND-02G-0043,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_SERIES_STATUS_MAP.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CL_SERIES_STATUS_MAP.md,YES,YES,YES,NO,NO,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
DR-02G-0044,CAND-02G-0044,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CORRECTIVE_INTAKES\README.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CORRECTIVE_INTAKES\README.md,YES,YES,YES,NO,NO,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
DR-02G-0045,CAND-02G-0045,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CURSOR_PACKETS\README.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CURSOR_PACKETS\README.md,YES,YES,YES,NO,NO,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
DR-02G-0046,CAND-02G-0046,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\QUICKSTART.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\QUICKSTART.md,YES,YES,YES,NO,NO,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
DR-02G-0047,CAND-02G-0047,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\README.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\README.md,YES,YES,YES,NO,NO,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
DR-02G-0048,CAND-02G-0048,CL-MIG-001B,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_MIGRATION_MANIFEST.schema.json,,YES,YES,YES,NO,YES,NO,N/A,N/A,N/A,N/A,YES,NO,WOULD_STOP_SCOPE,Superseded Phase 02 schema excluded by revised map
DR-02G-0049,CAND-02G-0049,CL-MIG-001B,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_EXTERNAL_BINARY_REFERENCE.schema.json,,YES,YES,YES,NO,YES,NO,N/A,N/A,N/A,N/A,YES,NO,WOULD_STOP_SCOPE,Superseded Phase 02 schema excluded by revised map
DR-02G-0050,CAND-02G-0050,CL-MIG-001A,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES\CL_PROGRAM_RELEASE_PROFILE_REGISTRY.md,NO,NO,NO,NO,YES,NO,NO,YES,N/A,YES,NO,NO,WOULD_STOP_AUTHORITY,Authority-deferred registry records remain blocked
DR-02G-0051,CAND-02G-0051,CL-MIG-001A,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES\CL_PROGRAM_ROOT_STATUS_RECORD.md,NO,NO,NO,NO,YES,NO,NO,YES,N/A,YES,NO,NO,WOULD_STOP_AUTHORITY,Authority-deferred registry records remain blocked
DR-02G-0052,CAND-02G-0052,CL-MIG-001A,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES\CL_PROGRAM_MIRROR_DUPLICATE_DOCTRINE.md,NO,NO,NO,NO,YES,NO,NO,YES,N/A,YES,NO,NO,WOULD_STOP_AUTHORITY,Authority-deferred registry records remain blocked
DR-02G-0053,CAND-02G-0053,CL-MIG-001A,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES\CL_PROGRAM_COLLECTION_STATE_LANGUAGE.md,NO,NO,NO,NO,YES,NO,NO,YES,N/A,YES,NO,NO,WOULD_STOP_AUTHORITY,Authority-deferred registry records remain blocked
DR-02G-0054,CAND-02G-0054,CL-MIG-001A,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES\CL_PROGRAM_COLLECTION_STATE_MAP.json,NO,NO,NO,NO,YES,NO,NO,YES,N/A,YES,NO,NO,WOULD_STOP_AUTHORITY,Authority-deferred registry records remain blocked
DR-02G-0055,CAND-02G-0055,CL-MIG-001B,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS\CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_STOP_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
DR-02G-0056,CAND-02G-0056,CL-MIG-001B,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS\CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_STOP_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
