authority_record_id,source_filename,content_summary,record_origin,record_creator_if_known,creation_context,program_scope,institutional_or_program_level,supersedes_other_record,superseded_by_other_record,duplicate_or_near_duplicate,active_operational_relevance,historical_evidence_value,authority_claims_inside_record,conflicting_authority_claims,provenance_complete
FAR-CL-001,CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,Chachipti Production Lane packet audit; PASS WITH REQUIRED AUTHORITY PATCHES; blocking conflicts vs CCR-CL-002.,Drive CL_OPS_001; Conversion Architect 2026-07-12,The Crisis Liturgies Conversion Architect,Post-packet review of 00_CHACHIPTI_PRODUCTION_LANE.zip,Crisis Liturgies Chachipti lane,PROGRAM,NO,NO,NO,YES — controls Chachipti adoption posture,HIGH,Rejects wholesale constitutional adoption; admits components with patches,None vs RAT-CL-001..008 if kept as audit not constitution,YES
FAR-CL-002,CL_PROD_ARCH_001_CRISIS_LITURGIES_AUTHORITY_ROLES_SYSTEM_ARCHITECTURE_v0.2.md,CL authority/roles/system architecture v0.2; PARTIALLY RATIFIED; locks via 001A; remainder provisional.,Drive CL_OPS_001; Conversion Architect 2026-07-13,The Crisis Liturgies Conversion Architect,"Triggered by CCR-CL-002, audits, CL-CONV-001, Chachipti packet",Crisis Liturgies production architecture,PROGRAM (Institution header The Gradient; must not be read as Gradient constitution),Nothing until fully ratified (self-stated),Qualified by 001A named patches for lock set,NO (001A is ratification companion),PARTIAL — locks via 001A; body provisional,HIGH,Canonical project/repository architecture; Layer Institutional authority; one canonical root,YES — canonical/institutional language vs RAT-CL-002 if treated as operative institution-repo doctrine,YES
FAR-CL-003,CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,JSON ratification of L-001..L-016 with NP-001.. patches.,Drive CL_OPS_001; Human Founder ratification 2026-07-13,Human Founder (ratifying); Conversion Architect (record),Named-patch ratification of architecture locks,Crisis Liturgies production locks,PROGRAM,NO,NO,NEAR_DUPLICATE companion of FAR-CL-004 (intentional md/json pair),YES — binding lock set,HIGH,Canonical operational root; repository as machine-readable operational source; institutional authority preservation (Canon above repo),MANAGEABLE with RAT-CL-002 candidate posture label; unresolved if read as permanent institutional repo ratification,YES
FAR-CL-004,CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,Markdown ratification and named patch record; ACCEPTED/LOCKED WITH NAMED PATCHES.,Drive CL_OPS_001; Human Founder 2026-07-13,Human Founder (ratifying); Conversion Architect (record),Same as FAR-CL-003,Crisis Liturgies production locks,PROGRAM,NO,NO,NEAR_DUPLICATE companion of FAR-CL-003,YES,HIGH,Same as FAR-CL-003,Same as FAR-CL-003,YES
FAR-CL-005,CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,Cursor read-only inventory packet defining Phase 00 disk evidence objective.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-006,CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,Phase 00 evidence freeze completion report with open local-disk gaps.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-007,CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,Master conflict ledger JSON for open Phase 00 conflicts.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-008,CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,Master conflict ledger Markdown narrative/table.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-009,CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,Master evidence register JSON for accessible CL evidence.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-010,CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,Master evidence register Markdown.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-011,CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,Phase 00 evidence-freeze package manifest listing member files and hashes.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-012,CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,Quarantine register JSON for protective holds.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-013,CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,Quarantine register Markdown.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-014,CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,Source root map JSON of known CL roots.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-015,CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md,Source root map Markdown.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-016,CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json,Phase 00B Cursor disk inventory reconciliation JSON.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-017,CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md,Phase 00B Cursor disk inventory reconciliation Markdown.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-018,CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md,Phase 00B status update; substantively complete pending ingestion.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-019,CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md,Phase 00C package integrity patch packet for inventory output consistency.,Drive CL_OPS_001 Phase 00/00B/00C package,Crisis Liturgies Conversion Architect / Phase 00 pipeline,Phase 00 evidence freeze and follow-ons,Crisis Liturgies Phase 00 evidence,PROGRAM,NO,Later phase packages may extend but do not void freeze evidence,MD/JSON companion pairs where applicable (not rejectable duplicates),HISTORICAL_EVIDENCE (phase complete/substantive),HIGH,Phase evidence only; some text uses canonical-versus-mirror vocabulary,NO operative conflict if NONOPERATIVE; YES if treated as current canonical-root selection,YES
FAR-CL-020,CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,JSON Schema for CL migration manifests including repository_posture enum and copy gates.,Repo Phase 02C planning repair,Phase 02C repair agent under human planning authority,Supersession of Phase 02 schemas after QC repair,Crisis Liturgies builder contracts,PROGRAM,YES — CL_MIGRATION_MANIFEST.schema.json (Phase 02),NO,NO,YES — current schema candidate,MEDIUM,Field canonical_repo_root; posture must remain REPOSITORY_CANDIDATE until institutional ratification,NO if field semantics follow RAT-CL-002,YES
FAR-CL-021,CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,JSON Schema for external binary reference (xbin) records.,Repo Phase 02C planning repair,Phase 02C repair agent under human planning authority,Revised builder schema pair with migration manifest schema,Crisis Liturgies builder contracts,PROGRAM,YES — CL_EXTERNAL_BINARY_REFERENCE.schema.json (Phase 02),NO,NO,YES,MEDIUM,Schema contract only; no institutional claim language detected,NO,YES
