item_id,source_file,line_no,matched_text,risk,phase
MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,17,C:\Users\steve\My,WARN,POST_COPY
MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,18,C:\Users\steve\Projects\gradient-institution`,WARN,POST_COPY
MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,29,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\EXPANSION_VOLUMES\CL-EV-001_THE_PYGMALION_MACHINE`,WARN,POST_COPY
MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,30,C:\Users\steve\My,WARN,POST_COPY
MIG-0002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,40,C:\Users\steve\My,WARN,POST_COPY
MIG-0004,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,179,C:\\Users\\steve\\Projects\\gradient-institution.,WARN,POST_COPY
MIG-0004,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,180,C:\\Users\\steve\\My,WARN,POST_COPY
MIG-0011,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,86,C:\\Users\\steve\\Projects\\gradient-institution\\CRISIS_LITURGIES\\EXPANSION_VOLUMES\\CL-EV-001_THE_PYGMALION_MACHINE,WARN,POST_COPY
MIG-0011,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,108,C:\\Users\\steve\\My,WARN,POST_COPY
MIG-0016,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md,15,C:\Users\steve\My,WARN,POST_COPY
MIG-0020,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_01_FINAL_CLOSURE_RECORD_v1.0.md,44,C:\Users\steve\Projects\gradient-institution,WARN,POST_COPY
MIG-0020,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_01_FINAL_CLOSURE_RECORD_v1.0.md,50,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,WARN,POST_COPY
MIG-0020,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_01_FINAL_CLOSURE_RECORD_v1.0.md,56,C:\Users\steve\My,WARN,POST_COPY
MIG-0020,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_01_FINAL_CLOSURE_RECORD_v1.0.md,62,C:\Users\steve\My,WARN,POST_COPY
MIG-0023,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_02_NON_DESTRUCTIVE_MIGRATION_PLANNING_CHARTER_v1.0.md,17,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,WARN,POST_COPY
MIG-0023,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_02_NON_DESTRUCTIVE_MIGRATION_PLANNING_CHARTER_v1.0.md,155,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\,WARN,POST_COPY
MIG-0024,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_02_CURSOR_MIGRATION_PLANNING_PACKET.md,10,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,WARN,POST_COPY
MIG-0024,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_02_CURSOR_MIGRATION_PLANNING_PACKET.md,16,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING,WARN,POST_COPY
MIG-0034,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\03_STATE_ROOT_AND_DUPLICATES\CL_PHASE_01_C_CANONICAL_ROOT_RATIFICATION_v1.0.md,20,C:\Users\steve\Projects\gradient-institution,WARN,POST_COPY
MIG-0034,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\03_STATE_ROOT_AND_DUPLICATES\CL_PHASE_01_C_CANONICAL_ROOT_RATIFICATION_v1.0.md,28,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,WARN,POST_COPY
MIG-0034,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\03_STATE_ROOT_AND_DUPLICATES\CL_PHASE_01_C_CANONICAL_ROOT_RATIFICATION_v1.0.md,36,C:\Users\steve\My,WARN,POST_COPY
MIG-0034,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\03_STATE_ROOT_AND_DUPLICATES\CL_PHASE_01_C_CANONICAL_ROOT_RATIFICATION_v1.0.md,44,C:\Users\steve\My,WARN,POST_COPY
MIG-0034,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\03_STATE_ROOT_AND_DUPLICATES\CL_PHASE_01_C_CANONICAL_ROOT_RATIFICATION_v1.0.md,117,C:\Users\steve\Projects\gradient-institution,WARN,POST_COPY
MIG-0034,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\03_STATE_ROOT_AND_DUPLICATES\CL_PHASE_01_C_CANONICAL_ROOT_RATIFICATION_v1.0.md,120,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,WARN,POST_COPY
MIG-0034,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\03_STATE_ROOT_AND_DUPLICATES\CL_PHASE_01_C_CANONICAL_ROOT_RATIFICATION_v1.0.md,123,C:\Users\steve\My,WARN,POST_COPY
MIG-0034,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\03_STATE_ROOT_AND_DUPLICATES\CL_PHASE_01_C_CANONICAL_ROOT_RATIFICATION_v1.0.md,126,C:\Users\steve\My,WARN,POST_COPY
MIG-0038,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\05_EVIDENCE_REFERENCES\CL_PHASE_00_DISK_INVENTORY_EXTERNAL_REF.json,19,C:\\Users\\steve\\My,WARN,POST_COPY
