map_id,collection_id,source_path,source_system,artifact_role,relationship_class,batch_class,target_path,migration_batch,copy_method,status,specification_state,production_state,qc_state,release_state,print_state,publication_state,archive_state,dispute_state,notes
MAP-001,CONTROL,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,GOOGLE_DRIVE_THE_GRADIENT,AUTHORITY_RECORD,CANONICAL_ACTIVE_SOURCE,GOVERNANCE_AND_REGISTRIES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority,CL-MIG-001,COPY_FILE,PARTIAL_SEE_MANIFEST,,,,,,,,,File-level items only; see CL_MIG_001_MIGRATION_MANIFEST_PLAN.json
MAP-002,CONTROL,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00*,GOOGLE_DRIVE_THE_GRADIENT,EVIDENCE_REFERENCE,REGISTERED_MIRROR,GOVERNANCE_AND_REGISTRIES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE,CL-MIG-001,COPY_FILE,PARTIAL_SEE_MANIFEST,,,,,,,,,Phase 00 evidence md/json on Drive control; zips excluded
MAP-003,CONTROL,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE,GRADIENT_INSTITUTION,QUARANTINE_RECORD,QUARANTINE,GOVERNANCE_AND_REGISTRIES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_QUARANTINE\chachipti_governance_claims,CL-MIG-008-CHACHIPTI_CLASSIFICATION,SKIP_LEAVE_IN_PLACE,DEFERRED,,,,,,,,,Explicitly excluded from CL-MIG-001
MAP-004,CONTROL,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_MIGRATION_MANIFEST.schema.v1.1.json,GRADIENT_INSTITUTION,SCHEMA,CANONICAL_ACTIVE_SOURCE,GOVERNANCE_AND_REGISTRIES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\06_BUILDER\schemas\CL_MIGRATION_MANIFEST.schema.json,CL-MIG-001,COPY_FILE,PLANNED,,,,,,,,,Single target path
MAP-005,CONTROL,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_EXTERNAL_BINARY_REFERENCE.schema.v1.1.json,GRADIENT_INSTITUTION,SCHEMA,CANONICAL_ACTIVE_SOURCE,GOVERNANCE_AND_REGISTRIES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\06_BUILDER\schemas\CL_EXTERNAL_BINARY_REFERENCE.schema.json,CL-MIG-001,COPY_FILE,PLANNED,,,,,,,,,Single target path
MAP-010,CL-I,C:\Users\steve\My Drive\The Gradient\09_RELEASES\CRISIS_LITURGIES_RELEASE_v1.0\01_Crisis_Liturgies_I,MULTI,STATE_RECORD,FROZEN_RELEASE,HISTORICAL_RELEASE_REFERENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\10_FROZEN_RELEASES\CL-I,CL-MIG-002+,WRITE_EXTERNAL_REFERENCE_ONLY,BLOCKED_STATE_MAP_MISSING,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,Cannot populate state_dimensions without CL_COLLECTION_STATE_MAP_v1.0. Single target path only. EXPANSION_VOLUMES untouched for EV-001 until later authorized batch.
MAP-011,CL-II,C:\Users\steve\My Drive\The Gradient\09_RELEASES\CRISIS_LITURGIES_RELEASE_v1.0,MULTI,STATE_RECORD,FROZEN_RELEASE,HISTORICAL_RELEASE_REFERENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\10_FROZEN_RELEASES\CL-II,CL-MIG-002+,WRITE_EXTERNAL_REFERENCE_ONLY,BLOCKED_STATE_MAP_MISSING,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,Cannot populate state_dimensions without CL_COLLECTION_STATE_MAP_v1.0. Single target path only. EXPANSION_VOLUMES untouched for EV-001 until later authorized batch.
MAP-012,CL-III,C:\Users\steve\My Drive\The Gradient\09_RELEASE_SNAPSHOTS\CRISIS_LITURGIES\CRISIS_LITURGIES_III_EMERGENCY_OBJECTS_v1.0,MULTI,STATE_RECORD,FROZEN_RELEASE,FROZEN_RELEASE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\10_FROZEN_RELEASES\CL-III,CL-MIG-002+,WRITE_EXTERNAL_REFERENCE_ONLY,BLOCKED_STATE_MAP_MISSING,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,Cannot populate state_dimensions without CL_COLLECTION_STATE_MAP_v1.0. Single target path only. EXPANSION_VOLUMES untouched for EV-001 until later authorized batch.
MAP-013,CL-IV,C:\Users\steve\My Drive\The Gradient\06_RELEASE_ASSEMBLY\CRISIS_LITURGIES\CRISIS_LITURGIES_IV_DEPRESSIVE_INFRASTRUCTURE,MULTI,STATE_RECORD,FROZEN_RELEASE,QUALIFIED_FROZEN_SNAPSHOT,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\10_FROZEN_RELEASES\CL-IV,CL-MIG-004,WRITE_EXTERNAL_REFERENCE_ONLY,BLOCKED_STATE_MAP_MISSING,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,Cannot populate state_dimensions without CL_COLLECTION_STATE_MAP_v1.0. Single target path only. EXPANSION_VOLUMES untouched for EV-001 until later authorized batch.
MAP-014,CL-V,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES_V_DUAL_POWER_DOMESTICS,MULTI,STATE_RECORD,CANONICAL_ACTIVE_SOURCE,FROZEN_RELEASE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\05_VOLUMES\CL-V_DUAL_POWER_DOMESTICS,CL-MIG-003,COPY_TREE_PLAN,BLOCKED_STATE_MAP_MISSING,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,Cannot populate state_dimensions without CL_COLLECTION_STATE_MAP_v1.0. Single target path only. EXPANSION_VOLUMES untouched for EV-001 until later authorized batch.
MAP-015,CL-VI,,NONE,STATE_RECORD,QUARANTINE,GOVERNANCE_AND_REGISTRIES,,NONE,SKIP_LEAVE_IN_PLACE,UNASSIGNED_NO_DIRECTORY,BLOCKED_MISSING_STATE_MAP,BLOCKED_MISSING_STATE_MAP,BLOCKED_MISSING_STATE_MAP,BLOCKED_MISSING_STATE_MAP,BLOCKED_MISSING_STATE_MAP,BLOCKED_MISSING_STATE_MAP,BLOCKED_MISSING_STATE_MAP,BLOCKED_MISSING_STATE_MAP,Do not create CL-VI directory. State values blocked: CL_COLLECTION_STATE_MAP_v1.0 missing.
MAP-016,CL-VII,C:\Users\steve\My Drive\The Gradient\09_HANDOFFS\CRISIS_LITURGIES_VII_INITIATION_STATUS_2026-07-12.md,MULTI,STATE_RECORD,QUARANTINE,QUARANTINE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_QUARANTINE\CL-VII,CL-MIG-007,WRITE_EXTERNAL_REFERENCE_ONLY,BLOCKED_STATE_MAP_MISSING,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,Cannot populate state_dimensions without CL_COLLECTION_STATE_MAP_v1.0. Single target path only. EXPANSION_VOLUMES untouched for EV-001 until later authorized batch.
MAP-017,CL-EV-001,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\EXPANSION_VOLUMES\CL-EV-001_THE_PYGMALION_MACHINE,MULTI,STATE_RECORD,WORKING_COPY,RETURN_FOR_REVISION,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\05_VOLUMES\CL-EV-001_THE_PYGMALION_MACHINE,CL-MIG-005,COPY_TREE_PLAN,BLOCKED_STATE_MAP_MISSING,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,BLOCKED_MISSING_CL_COLLECTION_STATE_MAP_v1.0,Cannot populate state_dimensions without CL_COLLECTION_STATE_MAP_v1.0. Single target path only. EXPANSION_VOLUMES untouched for EV-001 until later authorized batch.
MAP-018,CL_DEATH_OF_THE_BIT,C:\Users\steve\My Drive\The Gradient\_codex_work\CL_DEATH_OF_THE_BIT_V07_20260710_145556\CL_DEATH_OF_THE_BIT,MULTI,STATE_RECORD,WORKING_COPY,WORKING_ASSEMBLY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\05_VOLUMES\CL_DEATH_OF_THE_BIT,CL-MIG-006,COPY_TREE_PLAN,LATER_BATCH,SUBSTANTIAL_SPECIAL_VOLUME_CANDIDATE,WORKING_ASSEMBLY,INCOMPLETE_OR_CONFLICTING,NONE,WORKING_PROOF_ONLY,NOT_AUTHORIZED,NOT_ADMITTED,BOOT_HYMM_AND_EDITORIAL_ARCHITECTURE_UNRESOLVED,State dimensions taken ONLY from CL_PHASE_01_F_DEATH_BIT_PROFILE_DEFERRAL_v1.0.md (ZIP member; durable export still required for copy).
